,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
10,American,33,17,16,.515,-3.56,-3.71,,8,10,,8,3,,7,13,,58.7,58.6,,40.6,20.7,44.8,.462,6.45,17.3,.373,10.9,15.4,.705,5.70,25.1,12.4,5.94,2.55,11.2,14.7
11,Appalachian State,29,12,17,.414,-9.81,-3.18,,9,11,,7,5,,5,12,,63.5,70.1,,40.0,22.0,55.2,.398,6.41,20.3,.316,13.1,18.5,.709,11.3,34.8,11.0,4.21,2.10,13.7,19.0
12,Arizona State,34,18,16,.529,9.52,6.66,,9,9,,15,3,,3,10,,69.4,66.6,,40.7,23.8,53.5,.445,6.79,19.4,.350,15.0,22.5,.667,10.7,34.8,12.7,5.85,2.32,13.9,18.8
13,Arizona NCAA,38,34,4,.895,24.33,7.41,,16,2,,17,0,,8,3,,76.6,59.7,,40.1,26.6,54.4,.488,5.08,14.1,.360,18.4,25.6,.719,10.8,36.8,13.9,7.24,3.45,11.0,17.9
14,Little Rock,31,13,18,.419,-5.38,-3.81,,8,12,,9,7,,3,9,,69.2,70.3,,41.1,23.9,57.4,.417,7.06,20.5,.344,14.4,20.4,.704,10.6,34.3,12.3,5.61,2.77,10.5,19.0
15,Arkansas-Pine Bluff,32,12,20,.375,-15.65,-8.61,,9,9,,5,4,,5,13,,59.8,66.9,,40.2,20.5,51.2,.400,6.34,19.1,.332,12.4,18.3,.680,10.2,29.0,10.1,8.84,3.38,15.3,19.5
16,Arkansas State,29,11,18,.379,-10.10,-3.81,,6,14,,5,9,,6,9,,64.4,69.6,,40.3,22.9,56.2,.407,5.83,17.7,.329,12.8,18.3,.702,11.0,35.8,11.1,5.31,3.07,13.4,17.1
17,Arkansas NCAA,36,27,9,.750,14.07,6.79,,13,5,,17,2,,7,5,,77.4,70.1,,40.3,27.2,61.0,.445,6.61,18.9,.349,16.5,22.8,.724,13.1,35.8,16.1,7.69,4.67,11.9,19.0
18,Army,30,15,15,.500,-6.50,-4.98,,6,12,,7,7,,7,8,,72.1,72.1,,40.5,26.0,58.9,.441,7.57,23.2,.326,12.6,18.6,.680,10.8,34.4,14.6,6.40,3.53,13.2,20.4
19,Auburn,35,15,20,.429,3.27,8.15,,4,14,,9,8,,2,10,,67.9,72.1,,40.4,21.7,53.7,.404,7.20,20.8,.347,17.3,26.0,.666,10.2,31.5,10.7,6.80,2.54,12.9,20.2
20,Austin Peay,30,8,22,.267,-12.45,-2.81,,3,13,,6,7,,1,14,,64.6,72.6,,40.0,22.1,55.6,.398,5.17,17.1,.302,15.2,22.8,.666,12.4,34.8,12.0,6.37,4.13,14.3,17.1
21,Ball State,30,7,23,.233,-5.06,0.04,,2,16,,6,9,,1,14,,65.4,69.0,,40.9,22.3,52.7,.423,7.80,22.8,.342,13.0,18.7,.693,10.1,32.7,12.8,5.30,2.37,14.1,19.2
22,Baylor NCAA,34,24,10,.706,17.85,9.33,,11,7,,16,2,,6,5,,69.1,60.2,,40.3,23.9,55.1,.434,6.94,18.4,.377,14.3,21.3,.674,14.6,39.2,14.6,7.74,3.88,12.8,16.6
23,Belmont NCAA,33,22,11,.667,0.35,-2.77,,11,5,,12,2,,7,8,,74.2,70.6,,40.0,26.0,54.6,.476,9.97,26.2,.380,12.3,17.7,.692,9.30,33.1,15.3,6.33,2.00,13.7,16.6
24,Bethune-Cookman,32,11,21,.344,-15.52,-10.45,,7,9,,6,8,,4,11,,59.3,62.6,,40.0,19.6,49.0,.400,5.09,16.9,.301,15.1,21.0,.717,11.6,33.0,8.25,5.44,2.63,14.0,19.5
25,Binghamton,32,6,26,.188,-13.45,-3.49,,5,11,,5,9,,1,15,,57.7,66.4,,40.2,19.8,49.9,.396,5.34,17.3,.309,12.8,19.3,.660,9.00,31.0,8.69,5.81,2.50,13.5,18.0
26,Boise State NCAA,34,25,9,.735,10.01,1.38,,14,4,,13,1,,8,5,,70.3,60.1,,40.7,24.4,53.6,.456,8.74,22.3,.392,12.7,17.4,.729,8.76,32.9,12.0,6.06,2.32,10.2,17.1
27,Boston College,32,13,19,.406,6.32,7.94,,4,14,,9,8,,2,7,,65.8,67.4,,40.6,23.2,52.1,.445,6.47,19.9,.324,12.9,18.3,.705,8.22,30.7,13.2,5.72,2.69,12.2,19.0
28,Boston University,30,13,17,.433,-5.63,-3.12,,9,9,,8,6,,5,10,,67.9,69.6,,40.3,22.3,49.9,.446,7.73,21.0,.368,15.6,22.5,.696,8.77,31.8,12.3,5.67,1.87,12.3,17.4
29,Bowling Green State,33,21,12,.636,2.93,-1.25,,11,7,,11,6,,10,5,,66.5,62.9,,40.2,23.6,54.7,.431,6.61,19.6,.337,12.7,17.8,.714,10.8,35.0,12.3,6.64,3.73,11.7,16.7
30,Bradley,33,9,24,.273,-4.30,1.52,,3,15,,7,9,,1,10,,57.0,61.4,,40.6,19.4,51.5,.376,5.42,18.0,.301,12.9,19.4,.663,11.4,33.3,9.33,6.88,2.82,12.7,19.5
31,Brigham Young NCAA,35,25,10,.714,13.53,5.02,,13,5,,13,3,,8,3,,83.7,73.2,,40.6,27.9,59.7,.467,8.57,21.8,.393,19.4,25.3,.766,12.0,38.5,17.0,7.34,2.94,11.9,20.6
32,Brown,31,13,18,.419,-7.23,-1.99,,4,10,,9,6,,3,11,,66.1,69.2,,40.2,22.1,52.4,.423,5.65,17.7,.319,16.2,23.5,.689,10.5,36.4,11.9,4.48,4.45,14.8,19.1
33,Bryant,31,16,15,.516,-6.28,-4.93,,12,6,,9,5,,7,10,,66.4,67.7,,40.5,22.9,54.3,.421,7.29,21.1,.346,13.4,17.8,.750,9.87,33.2,12.3,5.06,2.48,11.8,18.1
34,Bucknell,34,19,15,.559,-3.66,-2.75,,13,5,,12,4,,6,11,,68.8,69.0,,40.6,23.5,53.8,.438,6.85,17.8,.385,14.9,21.4,.697,10.0,33.7,13.1,4.09,2.79,11.1,18.6
35,Buffalo NCAA,33,23,10,.697,7.93,1.60,,12,6,,11,2,,9,7,,74.6,68.3,,40.0,25.4,58.2,.435,6.03,17.7,.341,17.8,24.8,.719,12.7,38.2,13.1,7.52,4.00,11.5,18.6
36,Butler NCAA,34,23,11,.676,16.64,8.62,,12,6,,13,3,,7,4,,69.0,61.0,,40.6,23.9,55.4,.433,5.65,15.9,.356,15.5,22.6,.686,12.0,36.4,11.4,6.38,3.03,11.1,17.4
37,Cal Poly,29,13,16,.448,-0.57,0.43,,6,10,,7,4,,5,10,,60.4,59.3,,40.3,21.4,54.8,.390,5.72,18.4,.311,11.9,17.4,.684,11.8,34.6,10.2,5.45,3.00,8.79,16.0
38,Cal State Bakersfield,33,14,19,.424,-6.40,-5.80,,7,7,,9,5,,3,10,,63.6,61.5,,40.8,21.7,51.6,.420,5.64,16.8,.336,14.7,20.3,.723,11.2,34.6,12.9,5.76,1.79,12.4,20.4
39,Cal State Fullerton,31,9,22,.290,-8.58,-1.06,,1,15,,6,9,,1,13,,64.2,69.5,,40.5,22.5,54.7,.412,5.39,16.9,.319,13.8,20.1,.687,10.4,35.1,9.84,5.03,2.00,12.6,18.3
40,Cal State Northridge,33,9,24,.273,-6.61,0.39,,4,12,,7,9,,1,14,,65.1,70.5,,40.3,22.4,52.8,.425,3.33,10.2,.326,16.9,22.1,.765,9.85,34.3,13.4,5.45,3.79,13.2,18.1
41,UC Davis,32,25,7,.781,2.19,-2.58,,14,2,,14,0,,10,6,,70.7,64.6,,40.5,24.2,49.5,.490,8.56,19.2,.447,13.7,18.7,.734,7.97,31.1,13.3,5.16,1.97,13.3,17.6
42,UC Irvine NCAA,34,21,13,.618,3.63,0.45,,11,5,,10,3,,6,9,,67.5,62.1,,40.3,25.1,54.4,.461,6.38,16.4,.389,10.9,15.9,.684,9.68,35.2,14.1,5.71,4.94,11.6,17.0
43,UC Riverside,31,14,17,.452,-4.65,-1.16,,7,9,,12,3,,2,13,,65.3,66.1,,40.5,22.8,54.5,.418,6.68,19.5,.343,13.0,19.1,.682,10.9,34.8,12.9,6.71,3.58,13.3,20.2
44,UC Santa Barbara,33,19,14,.576,3.47,0.98,,11,5,,12,2,,4,10,,68.4,64.0,,40.8,24.4,55.6,.439,6.82,18.2,.374,12.8,17.3,.736,10.7,34.4,15.2,5.18,3.58,10.9,18.8
45,California,33,18,15,.545,5.36,6.15,,7,11,,11,7,,5,6,,66.5,67.3,,40.3,24.9,56.6,.440,5.61,15.6,.359,11.2,17.2,.649,9.06,35.5,12.5,4.15,3.85,11.1,19.0
46,Campbell,32,10,22,.313,-11.13,-5.30,,4,14,,9,6,,1,15,,63.9,66.4,,40.2,22.0,51.7,.426,8.19,23.0,.356,11.7,18.7,.625,9.53,30.9,13.1,7.06,2.88,12.6,18.0
47,Canisius,33,18,15,.545,-0.04,-2.79,,11,9,,10,5,,8,8,,65.7,62.9,,40.3,23.1,56.5,.409,6.52,20.5,.318,13.0,18.1,.720,12.2,35.1,14.1,6.76,3.27,11.9,18.4
48,Central Arkansas,29,2,27,.069,-22.84,-5.94,,2,16,,2,11,,0,16,,65.3,82.2,,40.0,22.3,52.6,.424,6.76,19.2,.353,14.0,20.7,.678,9.41,31.1,12.4,6.28,3.93,18.2,20.8
49,Central Connecticut State,31,5,26,.161,-16.56,-5.62,,3,15,,4,9,,1,13,,59.2,70.1,,40.2,21.7,54.0,.402,4.71,14.6,.322,11.0,15.5,.710,10.7,33.7,11.0,4.94,3.52,13.7,13.8
50,Central Florida,30,12,18,.400,-5.73,0.78,,5,13,,10,8,,2,9,,66.0,71.8,,41.0,23.5,54.0,.434,6.73,19.2,.350,12.4,19.2,.643,10.4,33.2,12.3,5.17,4.27,13.0,15.7
51,Central Michigan,32,23,9,.719,5.56,-1.10,,12,6,,16,1,,6,7,,78.3,68.3,,40.2,26.5,56.8,.467,10.1,27.0,.373,15.2,20.9,.725,10.2,33.8,14.0,7.06,2.63,10.2,17.6
52,Charleston Southern,31,19,12,.613,-4.48,-5.23,,13,5,,13,2,,6,9,,73.5,68.7,,40.6,25.1,59.5,.421,9.29,27.3,.341,14.0,20.4,.687,13.0,37.8,12.8,6.90,2.23,11.4,17.4
53,Charlotte,32,14,18,.438,1.76,0.35,,7,11,,7,6,,5,9,,73.8,72.4,,41.3,26.8,57.9,.463,6.28,16.7,.377,13.9,21.4,.650,11.9,36.4,13.7,6.47,2.50,13.6,17.4
54,Chattanooga,32,22,10,.688,-1.63,-4.06,,15,3,,15,2,,7,7,,72.7,66.9,,40.8,24.8,54.8,.452,6.78,19.4,.349,16.3,23.8,.685,11.6,34.9,12.0,6.56,6.34,13.1,19.4
55,Chicago State,32,8,24,.250,-14.76,-2.48,,4,10,,7,5,,1,16,,58.0,66.1,,40.2,20.6,54.6,.377,6.06,20.1,.301,10.7,16.1,.667,12.2,32.8,9.22,8.38,2.91,14.7,21.3
56,Cincinnati NCAA,34,23,11,.676,10.72,4.40,,13,5,,15,3,,6,5,,62.1,55.8,,40.6,22.4,50.1,.446,4.91,14.9,.329,12.5,18.6,.670,11.3,34.6,11.6,6.53,5.44,12.7,14.9
57,The Citadel,30,11,19,.367,-12.91,-4.68,,6,12,,8,6,,3,10,,64.0,68.6,,40.3,21.6,47.9,.451,6.87,17.2,.400,14.0,18.2,.767,9.03,29.1,13.1,4.70,2.20,13.1,15.0
58,Clemson,31,16,15,.516,7.73,7.18,,8,10,,11,6,,3,7,,62.7,62.2,,40.3,22.2,54.4,.409,5.52,18.5,.299,12.7,18.7,.682,11.9,36.2,10.6,5.42,4.77,11.8,16.2
59,Cleveland State,34,19,15,.559,3.07,-0.78,,11,5,,12,3,,6,12,,67.5,61.7,,39.3,24.6,53.5,.459,7.26,19.0,.382,11.6,16.9,.687,10.4,31.5,13.4,7.82,3.29,12.0,19.2
60,Coastal Carolina NCAA,34,24,10,.706,-1.02,-6.18,,12,6,,14,2,,8,7,,71.7,62.4,,40.0,24.6,55.9,.440,6.71,18.6,.360,15.8,22.9,.690,13.1,39.4,11.3,7.06,3.26,11.7,16.4
61,Colgate,33,16,17,.485,-2.91,-3.41,,12,6,,10,5,,6,12,,66.0,64.4,,40.8,24.4,50.3,.484,7.67,19.7,.390,9.58,13.7,.698,6.94,30.1,13.5,5.15,2.70,11.5,16.9
62,College of Charleston,33,9,24,.273,-7.23,-1.26,,3,15,,5,9,,2,12,,58.6,64.6,,40.3,20.8,51.8,.402,5.97,17.4,.343,11.1,16.8,.660,9.52,32.2,9.61,5.52,2.91,12.0,20.6
63,Colorado State,34,27,7,.794,8.12,0.69,,13,5,,15,2,,8,4,,72.2,64.1,,40.1,24.6,55.9,.440,7.21,20.6,.351,15.7,23.4,.674,12.1,37.9,14.7,5.59,3.41,10.6,16.9
64,Colorado,34,16,18,.471,7.01,6.19,,7,11,,12,5,,2,11,,69.0,68.1,,40.6,23.9,54.7,.436,5.26,15.7,.335,15.9,22.4,.713,11.8,37.3,11.8,5.71,3.91,13.2,18.1
65,Columbia,28,13,15,.464,-0.38,-1.49,,5,9,,9,7,,4,7,,64.9,62.0,,40.0,22.8,51.9,.438,8.71,23.9,.364,10.6,14.9,.716,10.3,32.7,11.9,4.89,3.57,11.7,17.9
66,Connecticut,35,20,15,.571,8.28,4.22,,10,8,,11,5,,4,7,,64.1,60.0,,40.1,22.9,52.1,.439,6.46,18.2,.355,11.9,16.9,.707,9.46,33.7,11.9,4.74,5.23,11.5,16.4
67,Coppin State,31,8,23,.258,-17.84,-4.78,,6,10,,4,7,,3,15,,71.6,82.5,,40.0,24.5,61.5,.398,9.52,26.6,.357,13.2,19.0,.692,10.3,32.1,12.6,6.68,3.19,13.5,20.4
68,Cornell,30,13,17,.433,-3.58,-1.92,,5,9,,8,5,,5,9,,62.3,61.3,,40.3,20.5,51.9,.395,6.03,19.3,.313,15.2,20.3,.749,8.27,32.7,10.4,6.23,4.73,12.0,19.0
69,Creighton,33,14,19,.424,7.48,7.05,,4,14,,9,8,,3,9,,67.3,66.9,,40.6,22.6,53.8,.420,7.94,23.0,.345,14.2,19.5,.725,10.5,34.5,13.6,4.45,2.33,11.8,17.9
70,Dartmouth,29,14,15,.483,-3.11,-3.32,,7,7,,8,4,,6,11,,63.3,63.1,,40.3,22.7,52.1,.435,5.97,17.2,.346,12.0,18.6,.646,10.3,32.7,12.3,7.66,3.48,12.9,19.2
71,Davidson NCAA,32,24,8,.750,11.97,3.19,,14,4,,14,1,,9,4,,79.0,69.4,,40.2,28.1,60.1,.467,10.7,27.4,.391,12.2,17.3,.705,10.5,35.8,17.1,5.34,2.91,9.47,18.8
72,Dayton NCAA,36,27,9,.750,10.98,4.06,,13,5,,16,0,,5,6,,67.8,60.8,,40.1,22.5,48.8,.462,6.64,18.6,.357,16.1,23.5,.686,7.08,31.1,13.6,6.94,2.53,11.5,15.9
73,Delaware State,36,18,18,.500,-10.78,-6.75,,9,7,,6,6,,9,11,,70.4,72.4,,40.1,24.7,58.9,.419,7.83,22.2,.353,13.2,18.7,.707,11.8,38.2,11.9,4.97,3.92,13.4,17.1
74,Delaware,30,10,20,.333,-7.76,-1.69,,9,9,,5,8,,5,10,,66.0,72.0,,40.5,22.5,54.9,.410,6.63,19.2,.345,14.3,20.9,.686,10.5,35.4,12.5,4.27,3.60,12.2,17.4
75,Denver,30,12,18,.400,-3.96,-3.13,,6,10,,9,7,,3,10,,62.2,63.0,,40.5,21.9,45.6,.480,7.47,19.6,.380,10.9,14.2,.766,4.93,23.9,15.2,5.97,1.83,11.3,20.4
76,DePaul,32,12,20,.375,3.30,7.49,,6,12,,9,7,,3,9,,69.4,73.6,,40.2,23.7,54.3,.435,7.75,22.0,.352,14.3,19.8,.721,9.13,30.3,12.3,6.63,3.81,13.4,21.2
77,Detroit Mercy,33,15,18,.455,-2.25,0.13,,7,9,,10,6,,3,11,,70.7,70.8,,40.5,25.5,57.2,.445,7.00,18.2,.384,12.8,18.8,.683,10.4,33.6,13.5,7.70,3.39,13.2,20.8
78,Drake,31,9,22,.290,-6.04,2.22,,6,12,,8,7,,1,11,,59.5,66.8,,40.3,20.5,45.0,.456,6.45,15.8,.408,11.9,15.5,.768,6.19,26.1,11.9,4.45,1.94,13.2,15.6
79,Drexel,30,11,19,.367,-5.71,-0.85,,9,9,,5,9,,5,6,,59.6,64.3,,40.2,20.5,52.3,.391,5.87,18.0,.326,12.8,17.1,.745,9.57,31.6,10.6,5.17,3.67,10.4,17.4
80,Duke NCAA,39,35,4,.897,24.97,9.87,,15,3,,15,1,,9,2,,79.3,64.2,,40.3,28.2,56.2,.502,7.26,18.8,.387,15.6,22.4,.699,11.4,36.8,15.1,7.13,3.82,10.8,15.6
81,Duquesne,31,12,19,.387,-2.93,1.41,,6,12,,9,7,,2,10,,71.4,74.3,,40.2,25.9,57.7,.449,7.90,21.4,.370,11.7,18.6,.627,11.4,36.3,15.0,5.13,3.35,12.3,18.0
82,East Carolina,33,14,19,.424,-2.84,1.00,,6,12,,11,5,,1,11,,64.1,65.9,,40.2,22.7,53.8,.422,7.06,20.1,.351,11.6,17.1,.680,10.1,31.8,13.4,6.30,1.94,11.5,17.3
83,East Tennessee State,30,16,14,.533,-4.80,-4.01,,8,10,,10,4,,6,9,,73.4,71.3,,40.3,24.1,57.1,.422,9.33,25.5,.366,15.9,22.0,.722,11.0,35.1,12.7,7.83,2.77,12.7,20.4
84,Eastern Illinois,33,18,15,.545,-5.52,-2.42,,9,7,,9,5,,7,8,,63.5,64.7,,40.3,22.6,51.4,.440,7.30,19.5,.375,11.0,16.9,.652,7.73,30.4,13.2,5.64,4.27,12.0,16.2
85,Eastern Kentucky,33,21,12,.636,-0.03,-4.16,,11,5,,13,4,,8,7,,71.9,63.6,,40.3,24.8,53.4,.464,9.06,25.4,.357,13.3,17.0,.779,6.82,26.5,15.0,9.73,2.97,11.3,16.8
86,Eastern Michigan,35,21,14,.600,1.96,-0.14,,8,10,,16,3,,4,10,,69.4,63.7,,40.4,23.0,56.1,.411,6.57,21.2,.310,16.8,23.3,.718,11.5,36.3,10.6,8.71,4.49,11.7,18.8
87,Eastern Washington NCAA,35,26,9,.743,0.79,-3.84,,14,4,,13,2,,11,6,,80.6,73.9,,40.3,27.9,58.4,.478,9.83,24.6,.400,14.9,20.5,.726,10.0,33.8,13.0,6.26,4.77,10.7,17.8
88,Elon,33,15,18,.455,-5.91,-2.69,,6,12,,8,6,,5,10,,70.6,70.6,,40.5,24.5,57.8,.423,7.27,20.7,.351,14.4,21.1,.683,10.8,34.9,11.9,6.45,1.36,13.3,20.9
89,Evansville,36,24,12,.667,3.36,-0.07,,9,9,,14,5,,8,5,,70.9,65.6,,40.4,25.0,51.5,.485,4.25,12.0,.355,16.7,22.3,.748,7.89,32.4,15.9,5.83,3.58,12.6,17.2
90,Fairfield,31,7,24,.226,-8.63,-2.31,,5,15,,4,11,,2,11,,59.5,65.8,,40.8,19.8,50.9,.389,6.39,19.8,.322,13.5,18.9,.716,9.23,31.6,10.5,4.97,3.52,12.8,19.1
91,Fairleigh Dickinson,29,8,21,.276,-12.22,-4.54,,3,15,,4,9,,4,12,,67.4,73.4,,40.5,23.5,57.2,.411,7.17,21.7,.331,13.3,19.2,.693,10.3,30.0,11.2,8.69,3.24,12.8,22.3
92,Florida A&M,29,2,27,.069,-26.04,-8.52,,2,14,,2,9,,0,17,,55.4,72.9,,40.0,19.3,51.7,.373,4.10,14.5,.283,12.7,19.6,.649,9.69,31.5,8.31,4.93,2.14,14.3,17.9
93,Florida Atlantic,29,9,20,.310,-7.80,-2.06,,2,16,,7,7,,2,13,,62.6,66.7,,40.2,22.4,53.9,.417,7.31,21.0,.348,10.4,15.4,.673,9.14,31.2,10.2,4.34,3.41,12.7,18.0
94,Florida Gulf Coast,33,22,11,.667,-1.81,-4.98,,11,3,,14,4,,6,6,,67.4,63.2,,40.2,24.7,57.1,.432,5.97,17.7,.337,12.1,18.3,.662,12.2,38.1,14.2,5.61,3.85,11.7,16.9
95,Florida International,33,16,17,.485,-7.78,-3.23,,8,10,,8,4,,6,10,,62.4,65.2,,40.5,22.7,51.3,.442,4.58,14.8,.310,12.5,19.6,.635,9.48,34.2,11.3,6.79,4.55,14.9,18.6
96,Florida State,33,17,16,.515,6.69,7.02,,8,10,,12,6,,3,7,,66.6,67.0,,40.3,23.1,50.6,.457,4.45,14.2,.313,15.9,23.7,.669,9.94,33.6,11.5,5.48,4.76,14.5,18.5
97,Florida,33,16,17,.485,13.27,9.67,,8,10,,11,5,,2,9,,63.7,60.1,,40.3,23.2,53.4,.434,6.61,20.4,.323,10.6,16.8,.635,10.5,33.2,13.1,6.91,3.58,12.4,16.9
98,Fordham,31,10,21,.323,-2.15,2.72,,4,14,,8,8,,1,11,,65.0,69.2,,40.2,22.9,55.3,.415,6.03,19.8,.305,13.1,18.0,.726,12.0,36.0,12.6,6.74,3.84,14.6,18.8
99,Fresno State,32,15,17,.469,-2.23,1.30,,10,8,,11,3,,4,10,,65.2,66.3,,40.5,22.7,52.9,.428,5.59,17.5,.320,14.3,20.7,.690,8.94,31.6,10.5,7.81,3.56,11.2,20.1
100,Furman,33,11,22,.333,-10.55,-3.46,,5,13,,7,7,,1,14,,63.6,68.0,,40.3,21.2,49.6,.428,6.55,19.9,.328,14.5,21.7,.669,9.58,32.4,10.4,5.55,2.85,13.3,17.6
101,Gardner-Webb,35,20,15,.571,-5.24,-3.11,,10,8,,12,2,,5,11,,74.8,74.1,,40.6,26.0,57.9,.448,8.23,23.5,.350,14.7,21.9,.669,11.1,35.0,16.1,6.66,2.37,12.3,16.3
102,George Mason,31,9,22,.290,-1.43,4.60,,4,14,,7,8,,2,9,,64.4,69.3,,40.5,22.8,53.6,.426,4.19,13.1,.320,14.5,21.8,.666,12.6,35.9,10.2,6.03,3.87,14.4,20.6
103,George Washington,35,22,13,.629,8.07,2.79,,10,8,,12,2,,5,10,,67.3,62.0,,40.4,23.6,53.9,.438,5.49,15.6,.352,14.5,21.5,.674,12.1,36.5,11.7,5.63,3.89,12.0,16.0
104,Georgetown NCAA,33,22,11,.667,15.48,9.81,,12,6,,13,3,,5,4,,70.9,65.2,,40.6,24.2,53.1,.456,6.09,17.2,.353,16.4,23.3,.704,11.1,34.9,12.9,7.61,4.73,12.6,20.2
105,Georgia Southern,31,22,9,.710,-0.40,-4.72,,14,6,,13,2,,8,6,,68.1,60.2,,40.3,23.6,56.9,.415,7.55,23.9,.316,13.3,19.9,.669,12.6,37.4,11.6,7.29,3.19,11.8,16.8
106,Georgia State NCAA,35,25,10,.714,5.47,-2.03,,15,5,,12,1,,8,8,,71.4,62.4,,40.4,25.8,53.7,.480,4.97,14.9,.333,14.9,20.5,.725,9.20,31.9,13.7,9.17,4.09,10.5,18.3
107,Georgia Tech,31,12,19,.387,7.16,8.45,,3,15,,8,8,,2,9,,63.3,64.6,,40.6,23.7,58.1,.408,4.23,15.8,.267,11.7,18.1,.648,14.3,38.3,11.7,5.71,3.35,12.7,16.6
108,Georgia NCAA,33,21,12,.636,12.42,8.60,,11,7,,12,4,,8,4,,68.2,64.4,,40.9,22.6,52.4,.432,5.58,16.3,.342,17.3,25.0,.692,10.9,38.2,12.5,5.55,4.58,12.7,18.4
109,Gonzaga NCAA,38,35,3,.921,21.12,5.12,,17,1,,15,1,,10,1,,78.7,61.7,,40.1,28.5,54.8,.520,6.95,17.4,.400,14.7,21.2,.691,10.3,37.9,16.3,5.95,3.32,10.4,16.8
110,Grambling,29,2,27,.069,-30.67,-8.00,,0,18,,2,9,,0,17,,52.0,72.6,,40.0,17.7,48.9,.361,3.62,12.6,.287,13.1,20.1,.651,10.1,32.0,7.76,5.31,1.79,16.8,19.0
111,Grand Canyon,32,17,15,.531,-6.62,-5.45,,8,6,,13,8,,4,7,,68.7,68.4,,40.0,23.7,52.6,.451,6.19,18.6,.333,15.1,21.1,.715,8.78,31.8,12.1,5.34,3.09,11.2,19.6
112,Green Bay,33,24,9,.727,5.70,-0.40,,12,4,,13,1,,6,7,,68.2,60.8,,40.2,25.1,54.8,.459,4.27,14.5,.294,13.7,21.4,.643,11.2,35.7,14.1,7.42,4.88,11.8,18.5
113,Hampton NCAA,35,17,18,.486,-8.25,-7.08,,8,8,,6,5,,5,12,,67.0,68.2,,40.1,22.7,56.0,.406,5.54,18.2,.304,16.0,24.5,.652,11.9,36.9,10.6,6.71,4.03,14.1,21.5
114,Hartford,30,14,16,.467,-8.58,-5.16,,7,9,,7,7,,7,8,,61.9,64.1,,40.5,21.5,53.2,.404,7.83,24.1,.325,11.1,15.9,.698,8.80,31.2,12.1,6.23,1.60,12.1,18.5
115,Harvard NCAA,30,22,8,.733,4.47,-0.25,,12,3,,12,2,,9,4,,64.2,57.6,,40.7,22.4,51.6,.433,4.87,13.7,.354,14.6,20.3,.719,10.5,34.2,12.8,7.10,4.50,11.6,15.7
116,Hawaii,35,22,13,.629,2.65,-0.83,,8,8,,13,5,,3,5,,72.9,68.2,,40.3,25.7,58.7,.438,6.46,20.1,.322,14.9,21.8,.686,12.0,35.2,13.3,9.63,3.97,13.3,20.3
